state,district,daily_cylinders,annual_cylinders,district_share
madhya pradesh,Harda,1727.702829156625,630611.5326421681,0.007854744106959181
tamil nadu,Perambalur,3720.378127910748,1357938.016687423,0.008141521307821966
haryana,Panchkula,4192.2309693904845,1530164.3038275267,0.02214045880273098
jammu and kashmir,Pulwama,1874.6731290749315,684255.69211235,0.04468754520064982
jammu and kashmir,Udhampur,1856.4261411384825,677595.5415155462,0.04425258238737892
karnataka,Kodagu,3853.9135410780145,1406678.4424934753,0.010006624537423764
chhattisgarh,Dantewada,1330.43707326611,485609.5317421302,0.020889953563875293
jharkhand,Khunti,1472.3740608079652,537416.5321949073,0.019419378172441493
himachal pradesh,Sirmaur,2917.947948118179,1065051.0010631352,0.0771865579388288
himachal pradesh,Una,2870.1355766475654,1047599.4854763614,0.07592180872248676
himachal pradesh,Chamba,2858.6092816132423,1043392.3877888334,0.07561691122078162
manipur,Imphal West,1945.1395390832506,709975.9317653865,0.18138283083443696
uttarakhand,Pithoragarh,3113.594299761647,1136461.9194130013,0.047930299856478474
assam,Chirang,1669.1357437767258,609234.5464785049,0.016988417369323335
manipur,Senapati,1799.2743514816086,656735.1382907871,0.16778100941454463
jammu and kashmir,Punch,1595.014205806946,582180.1851195353,0.03802117196444196
jharkhand,Lohardaga,1278.3357634460651,466592.55365781375,0.016860175876837583
manipur,Imphal East,1712.7743876157908,625162.6514797637,0.15971495142856942
himachal pradesh,Hamirpur,2504.4386718438204,914120.1152229945,0.06624826901836404
odisha,Baudh,1271.4559763877285,464081.43138152093,0.010510308971092683
himachal pradesh,Kullu,2411.5619562423585,880220.1140284608,0.06379146234552273
jammu and kashmir,Kulgam,1419.8966416549752,518262.27420406597,0.03384680474164485
manipur,Thoubal,1585.305697647257,578636.5796412488,0.14782858987728106
jammu and kashmir,Doda,1371.2368921569864,500501.46563730005,0.03268687732740987
mizoram,Aizawl,2237.7630326234116,816783.5069075453,0.3648439764273983
meghalaya,Jaintia Hills,801.4316693898504,292522.5593272954,0.13317788430911975
jammu and kashmir,Bandipora,1312.0169701722193,478886.1941128601,0.03127522166358804
uttarakhand,Chamoli,2522.136393129557,920579.7834922883,0.038825467277766694
meghalaya,West Khasi Hills,777.7755574855018,283888.0784822082,0.1292468306026953
himachal pradesh,Bilaspur,2103.4579771285107,767762.1616519064,0.05564139042583969
nagaland,Dimapur,1078.322666340494,393587.7732142803,0.19146354160875248
tripura,Dhalai,1141.758547345055,416741.869780945,0.10295006664549035
dadra & nagar haveli and daman & diu,Dadra and Nagar Haveli,,,0.5855788168108002
uttarakhand,Uttarkashi,2125.922583885709,775961.7431182839,0.032726199082874066
jammu and kashmir,Samba,1066.7145662617545,389350.81668554037,0.025427822406317944
meghalaya,East Garo Hills,644.8323868897184,235363.82121474718,0.10715500310257647
jammu and kashmir,Reasi,1052.5618612280023,384185.07934822084,0.025090457115218182
odisha,Debagarh,900.7018322990032,328756.16878913617,0.007445522868347421
jammu and kashmir,Ganderbal,994.9575753886627,363159.5150168619,0.02371731419911585
jammu and kashmir,Ramban,949.020657821062,346392.5401046876,0.022622292326586184
sikkim,East Sikkim,1818.5095430392466,663755.983209325,0.46445083912430374
manipur,Churachandpur,1029.4490815744252,375748.9147746652,0.09599536941390031
nagaland,Kohima,762.854127011244,278441.75635910407,0.1354499515289851
jammu and kashmir,Shupiyan,890.4898063248215,325028.77930855984,0.021227062389534992
uttarakhand,Bageshwar,1673.8759829460441,610964.7337753061,0.025767447541673393
uttarakhand,Champawat,1672.2658551430734,610377.0371272218,0.025742661426022568
meghalaya,Ri Bhoi,525.0062595662853,191627.2847416941,0.08724289988604225
chhattisgarh,Bijapur,636.3254757152025,232258.79863604892,0.009991310304191025
nagaland,Mon,712.3896361995086,260022.21721282063,0.12648963710928773
uttarakhand,Rudraprayag,1560.4392589711438,569560.3295244675,0.024021216121841407
andaman and nicobar islands,South Andaman,1641.3741778296942,599101.5749078384,0.6257327612255998
manipur,Bishnupur,891.4697165956707,325386.4465574198,0.08312889515140098
jammu and kashmir,Kishtwar,771.6786670920535,281662.7134885995,0.01839490030620425
gujarat,The Dangs,1128.3475369455928,411846.85098514135,0.004164659582209617
assam,Dima Hasao,741.1726785065694,270528.0276548978,0.007543634993232284
puducherry,Karaikal,1451.330102493652,529735.487410183,0.16044033709602845
nagaland,Tuensang,559.6297966845625,204264.8757898653,0.09936608605904872
nagaland,Mokokchung,554.0106120691311,202213.87340523285,0.09836836151795651
dadra & nagar haveli and daman & diu,Daman,,,0.32570243766142615
manipur,Ukhrul,690.9407576028973,252193.3765250575,0.06442971726952294
arunachal pradesh,Papumpare,662.073118924569,241656.68840746768,0.1276068183969815
nagaland,Wokha,473.5116648858581,172831.75768333822,0.08407522458910832
nagaland,Phek,465.1853654936918,169792.6584051975,0.08259683336180605
mizoram,Lunglei,902.3969254509193,329374.87778958556,0.14712642840086548
arunachal pradesh,Changlang,555.7840107248172,202861.1639145583,0.10712084103294942
sikkim,South Sikkim,941.6930013269953,343717.9454843533,0.24051020591997402
arunachal pradesh,Lohit,546.4100815436207,199439.67976342156,0.10531412626912678
manipur,Chandel,541.4255606729472,197620.32964562572,0.050487535165351566
meghalaya,South Garo Hills,288.6966502438094,105374.27733899043,0.047974157442357966
delhi,New Delhi,1535.0913685336552,560308.3495147842,0.010102723304447947
jammu and kashmir,Kargil,470.9830239098006,171908.8037270772,0.011227063984265751
nagaland,Zunheboto,400.6786063395439,146247.69131393352,0.07114321845517468
manipur,Tamenglong,528.1661132056062,192780.63132004623,0.04925110144499218
chhattisgarh,Narayanpur,348.59157628217537,127235.92534299401,0.005473435751016688
sikkim,West Sikkim,874.9055814507908,319340.53722953866,0.22345257027369195
jammu and kashmir,Leh,446.5143315623892,162977.73102027207,0.010643791210832814
mizoram,Champhai,702.9257711848369,256567.90648246548,0.11460473238389145
mizoram,Lawngtlai,659.0379805802629,240548.86291179596,0.10744928481980594
arunachal pradesh,West Siang,420.97940995586566,153657.48463389097,0.0811388373573689
arunachal pradesh,Tirap,419.85828802579454,153248.275129415,0.08092275427161573
andaman and nicobar islands,North and Middle Andaman,727.8186504534361,265653.8074155042,0.27746261636813185
arunachal pradesh,East Siang,372.0100039132947,135783.65142835258,0.07170055943115947
nagaland,Peren,271.05022284536483,98933.33133855817,0.04812681513589574
arunachal pradesh,Kurung Kumey,345.24556131514225,126014.62988002693,0.06654202743749309
